"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2023","39.225,0","38.150,0","39.640,0","38.045,0","-","2,71%"
"Nov 2023","38.190,0","34.865,0","39.250,0","34.310,0","202,82K","9,41%"
"Oct 2023","34.905,0","27.190,0","35.265,0","26.575,0","220,15K","29,90%"
"Sep 2023","26.869,7","26.070,0","27.620,0","24.925,0","137,79K","2,40%"
"Ago 2023","26.240,0","29.400,0","30.275,0","25.585,0","185,72K","-10,40%"
"Jul 2023","29.285,0","30.850,0","32.165,0","28.810,0","159,46K","-2,80%"
"Jun 2023","30.128,5","27.185,0","31.655,0","24.745,0","195,18K","11,28%"
"May 2023","27.075,0","28.030,0","29.910,0","25.805,0","154,60K","-7,21%"
"Abr 2023","29.177,5","27.930,0","31.200,0","26.980,0","130,19K","2,46%"
"Mar 2023","28.476,5","23.275,0","29.220,0","19.520,0","231,95K","21,64%"
"Feb 2023","23.410,0","23.335,0","25.345,0","21.380,0","157,58K","0,69%"
"Ene 2023","23.250,0","16.675,0","23.770,0","16.525,0","145,73K","40,93%"
"Dic 2022","16.498,1","17.190,0","18.420,0","16.055,0","118,03K","-3,41%"
"Nov 2022","17.080,0","20.430,0","21.400,0","14.925,0","238,32K","-16,19%"
"Oct 2022","20.380,0","19.190,0","21.055,0","17.810,0","220,35K","3,46%"
"Sep 2022","19.698,6","20.130,0","22.875,0","18.085,0","218,66K","-1,83%"
"Ago 2022","20.065,0","23.655,0","25.270,0","19.345,0","166,88K","-16,68%"
"Jul 2022","24.082,4","18.700,0","24.490,0","18.630,0","187,93K","28,37%"
"Jun 2022","18.760,0","31.700,0","32.020,0","18.525,0","200,62K","-35,40%"
"May 2022","29.042,2","38.685,0","40.100,0","25.350,0","173,86K","-25,53%"
"Abr 2022","38.997,3","45.865,0","47.610,0","37.665,0","111,95K","-14,73%"
"Mar 2022","45.735,0","43.100,0","48.390,0","37.180,0","131,59K","16,66%"
"Feb 2022","39.202,1","38.450,0","45.905,0","34.295,0","118,98K","5,73%"
"Ene 2022","37.075,9","46.205,0","47.650,0","32.855,0","132,79K","-22,72%"
"Dic 2021","47.977,0","57.660,0","59.545,0","45.415,0","128,13K","-16,97%"
"Nov 2021","57.780,0","61.010,0","69.355,0","53.625,0","129,80K","-5,51%"
"Oct 2021","61.149,3","43.735,0","67.680,0","43.330,0","185,13K","40,20%"
"Sep 2021","43.615,0","46.940,0","53.125,0","40.085,0","114,99K","-7,97%"
"Ago 2021","47.390,0","41.185,0","50.585,0","37.300,0","108,92K","21,45%"
"Jul 2021","39.020,9","34.765,0","40.940,0","29.215,0","114,47K","12,37%"
"Jun 2021","34.725,0","35.905,0","41.335,0","28.800,0","141,13K","-5,74%"
"May 2021","36.841,4","56.985,0","59.900,0","30.205,0","181,03K","-30,36%"
"Abr 2021","52.900,0","59.580,0","65.520,0","47.395,0","145,82K","-10,77%"
"Mar 2021","59.285,0","45.500,0","61.255,0","45.150,0","171,91K","26,13%"
"Feb 2021","47.001,6","33.315,0","57.790,0","32.530,0","177,19K","43,96%"
"Ene 2021","32.650,0","33.405,0","42.730,0","28.440,0","234,79K","11,11%"
"Dic 2020","29.385,0","19.800,0","29.700,0","17.575,0","193,74K","48,94%"
"Nov 2020","19.730,0","13.955,0","20.260,0","13.370,0","172,03K","46,38%"
"Oct 2020","13.478,6","10.835,0","13.870,0","10.410,0","125,33K","25,15%"
"Sep 2020","10.770,0","11.755,0","12.200,0","9.850,0","168,22K","-9,00%"
"Ago 2020","11.835,0","11.350,0","12.635,0","11.115,0","166,32K","5,60%"
"Jul 2020","11.207,5","9.200,0","11.540,0","8.950,0","117,72K","22,02%"
"Jun 2020","9.185,0","9.530,0","10.565,0","8.930,0","106,35K","-2,80%"
"May 2020","9.450,0","8.850,0","10.220,0","8.220,0","141,47K","5,82%"
"Abr 2020","8.930,0","6.455,0","9.560,0","6.155,0","103,47K","37,92%"
"Mar 2020","6.475,0","8.645,0","9.250,0","4.210,0","140,76K","-25,26%"
"Feb 2020","8.663,0","9.495,0","10.670,0","8.430,0","172,13K","-6,62%"
"Ene 2020","9.277,6","7.225,0","9.570,0","6.860,0","200,42K","28,68%"
"Dic 2019","7.210,0","7.465,0","7.965,0","6.420,0","95,67K","-7,28%"
"Nov 2019","7.775,7","9.230,0","9.790,0","6.510,0","88,28K","-16,44%"
"Oct 2019","9.305,0","8.360,0","10.050,0","7.245,0","74,58K","11,64%"
"Sep 2019","8.335,0","9.795,0","11.130,0","7.710,0","82,17K","-13,03%"
"Ago 2019","9.584,0","10.160,0","12.505,0","9.305,0","83,66K","-5,25%"
"Jul 2019","10.115,0","11.505,0","13.480,0","9.095,0","130,48K","-14,02%"
"Jun 2019","11.763,8","8.730,0","13.915,0","7.435,0","133,85K","36,47%"
"May 2019","8.620,0","5.250,0","9.125,0","5.250,0","268,18K","64,82%"
"Abr 2019","5.230,0","4.090,0","5.665,0","4.040,0","185,82K","28,22%"
"Mar 2019","4.079,0","3.785,0","4.100,0","3.655,0","63,46K","7,63%"
"Feb 2019","3.790,0","3.385,0","3.985,0","3.310,0","88,66K","11,63%"
"Ene 2019","3.395,0","3.720,0","4.095,0","3.300,0","79,07K","-6,99%"
"Dic 2018","3.650,0","4.090,0","4.265,0","3.120,0","68,59K","-7,67%"
"Nov 2018","3.953,0","6.295,0","6.545,0","3.515,0","108,77K","-37,20%"
"Oct 2018","6.295,0","6.560,0","6.770,0","6.030,0","48,93K","-5,41%"
"Sep 2018","6.655,0","7.260,0","7.410,0","6.035,0","52,24K","-2,35%"
"Ago 2018","6.815,0","7.695,0","7.760,0","5.850,0","116,17K","-11,84%"
"Jul 2018","7.730,0","6.275,0","8.490,0","6.060,0","112,21K","27,03%"
"Jun 2018","6.085,0","7.550,0","7.900,0","5.805,0","55,33K","-19,35%"
"May 2018","7.545,0","9.285,0","9.840,0","7.050,0","79,24K","-19,43%"
"Abr 2018","9.365,0","6.905,0","9.765,0","6.485,0","71,80K","26,73%"
"Mar 2018","7.389,9","10.450,0","11.700,0","7.345,0","48,88K","-30,58%"
"Feb 2018","10.645,0","10.020,0","11.760,0","5.970,0","24,06K","6,45%"
"Ene 2018","10.000,0","13.955,0","16.845,0","9.225,0","22,28K","-30,89%"
"Dic 2017","14.470,0","20.650,0","20.650,0","12.265,0","8,39K","478,80%"
"Nov 2017","2.500,0","2.500,0","2.500,0","2.500,0","-","0,00%"
"Oct 2017","2.500,0","2.500,0","2.500,0","2.500,0","-","0,00%"
"Sep 2017","2.500,0","2.500,0","2.500,0","2.500,0","-","127,27%"
"Ago 2017","1.100,0","1.100,0","1.100,0","1.100,0","-","0,00%"
"Jul 2017","1.100,0","1.100,0","1.100,0","1.100,0","-","0,00%"
"Jun 2017","1.100,0","1.100,0","1.100,0","1.100,0","-","23,87%"
"May 2017","888,0","888,0","888,0","888,0","-","0,00%"
"Abr 2017","888,0","888,0","888,0","888,0","-","0,00%"
"Mar 2017","888,0","1.059,2","1.059,2","1.059,2","0,00K","-3,58%"
