"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2023","940,70","936,05","943,10","924,20","","0,51%"
"01.11.2023","935,90","941,95","955,20","843,15","23,08K","-0,95%"
"01.10.2023","944,90","915,25","951,80","856,80","0,03K","3,17%"
"01.09.2023","915,90","984,00","1.000,00","894,10","174,98K","-6,00%"
"01.08.2023","974,40","960,15","993,25","884,20","25,73K","1,65%"
"01.07.2023","958,60","913,00","1.003,75","899,15","","4,97%"
"01.06.2023","913,20","1.004,00","1.056,30","894,20","162,18K","-8,59%"
"01.05.2023","999,00","1.028,10","1.046,00","997,80","21,63K","-9,03%"
"01.04.2023","1.098,20","1.021,50","1.087,60","989,40","0,01K","8,83%"
"01.03.2023","1.009,10","964,00","1.013,50","944,00","22,41K","4,41%"
"01.02.2023","966,50","1.026,60","1.042,60","912,70","5,57K","-6,34%"
"01.01.2023","1.031,90","1.088,00","1.120,50","1.011,00","4,66K","-4,98%"
"01.12.2022","1.086,00","1.065,20","1.088,00","983,60","17,96K","4,34%"
"01.11.2022","1.040,80","948,40","1.064,60","928,00","2,78K","11,95%"
"01.10.2022","929,70","862,90","971,40","860,90","4,98K","7,99%"
"01.09.2022","860,90","827,00","935,60","807,40","25,41K","3,24%"
"01.08.2022","833,90","905,30","945,00","835,10","2,05K","-6,82%"
"01.07.2022","894,90","890,00","892,30","808,40","5,03K","-0,39%"
"01.06.2022","898,40","980,00","1.036,10","882,40","20,24K","-7,40%"
"01.05.2022","970,20","940,00","989,90","918,00","2,01K","2,82%"
"01.04.2022","943,60","996,30","1.028,60","899,30","5,76K","-5,45%"
"01.03.2022","998,00","1.046,40","1.189,00","957,40","27,97K","-4,10%"
"01.02.2022","1.040,70","1.038,00","1.130,20","1.009,70","11,20K","1,92%"
"01.01.2022","1.021,10","975,00","1.062,10","920,90","6,23K","5,64%"
"01.12.2021","966,60","937,90","988,30","888,80","14,48K","3,75%"
"01.11.2021","931,70","1.031,70","1.114,20","928,00","3,86K","-8,96%"
"01.10.2021","1.023,40","956,80","1.080,90","944,10","3,48K","6,19%"
"01.09.2021","963,70","1.016,40","1.030,00","897,10","19,06K","-5,45%"
"01.08.2021","1.019,20","1.059,80","1.069,00","961,00","2,31K","-3,33%"
"01.07.2021","1.054,30","1.072,30","1.136,20","1.040,00","4,51K","-2,04%"
"01.06.2021","1.076,30","1.199,50","1.214,50","1.035,00","19,07K","-9,59%"
"01.05.2021","1.190,50","1.253,50","1.280,80","1.170,00","2,21K","-1,78%"
"01.04.2021","1.212,10","1.194,00","1.265,00","1.159,70","2,69K","1,42%"
"01.03.2021","1.195,10","1.216,00","1.240,10","1.119,80","21,77K","0,15%"
"01.02.2021","1.193,30","1.125,00","1.346,80","1.091,30","3,38K","9,71%"
"01.01.2021","1.087,70","1.092,50","1.165,70","1.016,70","4,57K","0,42%"
"01.12.2020","1.083,10","979,10","1.093,50","936,00","14,24K","11,27%"
"01.11.2020","973,40","870,00","983,00","860,80","1,69K","13,46%"
"01.10.2020","857,90","920,30","927,20","848,80","2,09K","-6,32%"
"01.09.2020","915,80","953,60","998,30","835,70","18,15K","-3,93%"
"01.08.2020","953,30","950,00","1.038,00","918,10","1,80K","2,96%"
"01.07.2020","925,90","860,80","1.007,00","831,80","4,11K","8,15%"
"01.06.2020","856,10","874,20","907,00","803,40","13,91K","-1,98%"
"01.05.2020","873,40","807,90","928,00","758,00","2,47K","7,55%"
"01.04.2020","812,10","719,60","836,00","702,70","7,72K","11,12%"
"01.03.2020","730,80","861,00","908,40","561,30","22,03K","-16,43%"
"01.02.2020","874,50","978,10","1.031,40","860,00","5,01K","-10,08%"
"01.01.2020","972,50","984,20","1.052,30","958,90","8,52K","-1,13%"
"01.12.2019","983,60","912,10","994,90","898,00","24,29K","7,97%"
"01.11.2019","911,00","950,50","962,00","879,20","1,59K","-3,49%"
"01.10.2019","943,90","895,10","949,10","882,00","6,15K","5,45%"
"01.09.2019","895,10","951,20","1.009,30","886,40","30,22K","-4,93%"
"01.08.2019","941,50","871,00","952,80","846,00","2,14K","6,04%"
"01.07.2019","887,90","842,00","894,30","813,70","4,13K","4,93%"
"01.06.2019","846,20","811,80","849,40","802,90","3,01K","5,14%"
"01.05.2019","804,80","900,00","900,00","799,10","0,65K","-10,86%"
"01.04.2019","902,80","860,10","925,50","853,40","6,11K","5,04%"
"01.03.2019","859,50","875,70","886,50","820,30","31,30K","-2,87%"
"01.02.2019","884,90","831,30","888,00","794,10","1,67K","6,01%"
"01.01.2019","834,70","805,50","840,30","793,10","5,61K","3,61%"
"01.12.2018","805,60","823,50","825,30","790,10","22,50K","-0,56%"
"01.11.2018","810,10","860,30","888,90","809,50","1,49K","-4,93%"
"01.10.2018","852,10","820,00","858,60","816,00","6,71K","3,10%"
"01.09.2018","826,50","798,10","844,80","780,00","20,99K","3,88%"
"01.08.2018","795,60","843,40","848,60","767,00","1,36K","-6,97%"
"01.07.2018","855,20","853,00","866,60","799,50","3,74K","-0,85%"
"01.06.2018","862,50","915,00","924,50","853,00","30,03K","-6,34%"
"01.05.2018","920,90","912,70","940,70","893,80","1,32K","0,55%"
"01.04.2018","915,90","945,40","959,00","913,00","7,36K","-2,50%"
"01.03.2018","939,40","976,90","984,50","939,00","30,78K","-5,86%"
"01.02.2018","997,90","1.019,00","1.026,30","974,20","2,11K","-1,59%"
"01.01.2018","1.014,00","942,40","1.037,90","942,40","7,27K","7,43%"
"01.12.2017","943,90","950,40","952,00","883,00","19,73K","-0,74%"
"01.11.2017","950,90","941,80","965,00","930,30","0,75K","2,42%"
"01.10.2017","928,40","919,80","953,50","911,00","5,97K","0,93%"
"01.09.2017","919,80","1.008,80","1.028,30","919,00","4,42K","-8,55%"
"01.08.2017","1.005,80","955,00","1.013,20","955,00","2,48K","6,18%"
"01.07.2017","947,30","936,10","946,80","895,00","6,82K","1,84%"
"01.06.2017","930,20","954,30","973,00","916,00","22,66K","-2,84%"
"01.05.2017","957,40","950,10","972,00","902,40","0,81K","0,16%"
"01.04.2017","955,90","962,20","996,00","942,50","5,70K","-0,03%"
"01.03.2017","956,20","1.030,30","1.030,30","942,80","21,30K","-7,89%"
"01.02.2017","1.038,10","1.004,80","1.045,90","998,30","2,85K","3,45%"
"01.01.2017","1.003,50","913,00","1.011,40","912,20","5,47K","10,37%"
"01.12.2016","909,20","910,00","957,40","896,90","3,12K","-0,86%"
"01.11.2016","917,10","1.009,70","1.029,60","912,30","1,12K","-6,93%"
"01.10.2016","985,40","1.033,00","1.038,90","932,00","3,79K","-5,11%"
"01.09.2016","1.038,50","1.053,00","1.108,50","1.016,40","25,98K","-1,92%"
"01.08.2016","1.058,80","1.181,00","1.199,10","1.062,00","0,88K","-8,31%"
"01.07.2016","1.154,80","1.029,50","1.157,20","1.028,90","2,38K","12,51%"
"01.06.2016","1.026,40","985,00","1.031,80","970,20","18,78K","4,32%"
"01.05.2016","983,90","1.061,10","1.069,80","990,00","0,84K","-9,04%"
"01.04.2016","1.081,70","984,10","1.052,30","942,50","5,30K","10,46%"
"01.03.2016","979,30","938,00","1.010,90","935,00","20,72K","4,63%"
"01.02.2016","936,00","875,90","960,00","865,40","0,90K","6,79%"
"01.01.2016","876,50","888,00","898,10","812,40","6,52K","-1,96%"
