"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2023","936,93","932,25","938,82","923,58","","1,08%"
"01.11.2023","926,93","932,39","944,00","924,76","","-0,72%"
"01.10.2023","933,67","906,76","945,21","930,72","","3,23%"
"01.09.2023","904,46","967,23","928,58","904,39","","-6,52%"
"01.08.2023","967,54","949,00","984,53","967,89","","1,93%"
"01.07.2023","949,20","900,89","961,97","927,07","","5,32%"
"01.06.2023","901,25","993,00","913,65","889,34","","-9,26%"
"01.05.2023","993,25","1.071,03","1.027,28","996,81","","-7,52%"
"01.04.2023","1.074,00","989,55","1.086,69","1.065,26","","8,34%"
"01.03.2023","991,31","951,09","1.000,16","978,05","","4,09%"
"01.02.2023","952,35","1.011,05","963,13","933,55","","-5,81%"
"01.01.2023","1.011,15","1.066,49","1.024,19","991,31","","-5,46%"
"01.12.2022","1.069,58","1.032,00","1.075,38","1.049,88","","3,57%"
"01.11.2022","1.032,72","923,86","1.044,81","1.001,59","","11,56%"
"01.10.2022","925,72","859,50","952,28","925,85","","7,77%"
"01.09.2022","859,00","845,38","882,18","856,46","","1,52%"
"01.08.2022","846,15","891,97","860,73","841,22","","-5,67%"
"01.07.2022","897,00","893,50","907,80","885,75","","0,35%"
"01.06.2022","893,85","964,74","928,33","891,00","","-7,35%"
"01.05.2022","964,74","928,50","982,00","952,65","","3,62%"
"01.04.2022","931,00","983,31","950,93","915,75","","-5,32%"
"01.03.2022","983,30","1.044,00","999,25","979,50","","-5,76%"
"01.02.2022","1.043,39","1.020,00","1.078,50","1.035,50","","2,48%"
"01.01.2022","1.018,14","974,53","1.027,75","1.008,42","","5,78%"
"01.12.2021","962,54","935,50","973,51","951,59","","3,02%"
"01.11.2021","934,30","1.020,50","975,63","930,30","","-8,21%"
"01.10.2021","1.017,92","963,40","1.028,48","1.006,01","","5,66%"
"01.09.2021","963,40","1.013,00","974,14","953,00","","-4,84%"
"01.08.2021","1.012,44","1.050,00","1.025,13","999,00","","-3,48%"
"01.07.2021","1.049,00","1.072,36","1.067,00","1.037,94","","-2,18%"
"01.06.2021","1.072,36","1.185,00","1.081,74","1.053,27","","-9,63%"
"01.05.2021","1.186,63","1.201,50","1.194,34","1.182,75","","-0,99%"
"01.04.2021","1.198,50","1.186,92","1.227,63","1.197,25","","0,94%"
"01.03.2021","1.187,30","1.184,00","1.197,25","1.156,34","","-0,12%"
"01.02.2021","1.188,72","1.090,48","1.236,44","1.168,62","","10,82%"
"01.01.2021","1.072,68","1.068,00","1.115,75","1.065,50","","0,63%"
"01.12.2020","1.065,95","962,50","1.086,00","1.061,14","","10,47%"
"01.11.2020","964,89","842,00","981,75","953,50","","13,65%"
"01.10.2020","849,00","888,00","863,69","844,05","","-4,43%"
"01.09.2020","888,32","929,65","907,76","867,61","","-4,44%"
"01.08.2020","929,59","908,50","943,63","927,54","","2,49%"
"01.07.2020","907,00","818,50","921,00","897,27","","10,07%"
"01.06.2020","824,00","834,43","834,88","805,45","","-1,70%"
"01.05.2020","838,25","772,75","849,75","818,50","","8,56%"
"01.04.2020","772,19","722,00","794,67","757,80","","6,93%"
"01.03.2020","722,17","865,00","742,75","717,37","","-16,38%"
"01.02.2020","863,59","957,50","907,50","848,47","","-9,71%"
"01.01.2020","956,50","960,50","985,77","955,88","","-0,62%"
"01.12.2019","962,50","890,00","986,89","954,74","","6,94%"
"01.11.2019","900,02","932,26","904,16","889,41","","-3,43%"
"01.10.2019","932,00","878,50","941,75","920,90","","5,67%"
"01.09.2019","882,00","931,50","937,20","873,36","","-5,24%"
"01.08.2019","930,75","861,50","942,40","911,13","","8,29%"
"01.07.2019","859,50","830,50","881,48","860,32","","3,18%"
"01.06.2019","833,00","792,50","842,88","811,41","","5,24%"
"01.05.2019","791,50","887,67","799,94","788,37","","-10,67%"
"01.04.2019","886,00","844,50","903,76","883,13","","4,79%"
"01.03.2019","845,50","865,50","859,21","836,68","","-2,82%"
"01.02.2019","870,00","819,00","879,25","862,00","","6,16%"
"01.01.2019","819,50","794,90","827,07","815,00","","3,51%"
"01.12.2018","791,74","801,40","799,80","785,35","","-0,75%"
"01.11.2018","797,70","833,00","823,20","795,35","","-4,58%"
"01.10.2018","836,00","814,50","842,95","829,95","","2,96%"
"01.09.2018","811,98","782,00","826,55","804,55","","3,77%"
"01.08.2018","782,50","835,00","803,40","782,60","","-6,23%"
"01.07.2018","834,50","849,49","846,85","822,95","","-1,53%"
"01.06.2018","847,50","902,00","856,92","840,05","","-5,99%"
"01.05.2018","901,50","901,50","917,40","904,15","","-0,17%"
"01.04.2018","903,00","926,50","917,90","900,45","","-2,69%"
"01.03.2018","927,99","982,90","943,55","925,20","","-5,60%"
"01.02.2018","983,00","1.001,30","989,85","974,95","","-1,70%"
"01.01.2018","1.000,00","928,50","1.009,05","991,90","","8,17%"
"01.12.2017","924,49","941,50","939,00","923,52","","-1,79%"
"01.11.2017","941,30","915,00","951,54","936,70","","2,85%"
"01.10.2017","915,24","912,00","927,80","912,47","","0,66%"
"01.09.2017","909,24","992,00","929,53","909,70","","-8,62%"
"01.08.2017","995,00","938,50","1.002,40","979,10","","6,36%"
"01.07.2017","935,50","926,50","946,22","932,25","","1,57%"
"01.06.2017","921,00","944,00","931,25","915,65","","-2,38%"
"01.05.2017","943,50","941,00","954,42","935,90","","-0,01%"
"01.04.2017","943,60","950,00","955,58","941,10","","-0,15%"
"01.03.2017","945,00","1.023,10","953,33","937,92","","-7,63%"
"01.02.2017","1.023,10","994,30","1.038,75","1.020,05","","2,89%"
"01.01.2017","994,40","899,00","1.001,67","983,45","","10,52%"
"01.12.2016","899,74","910,90","910,70","895,87","","-1,24%"
"01.11.2016","911,00","977,50","929,50","902,60","","-6,71%"
"01.10.2016","976,50","1.026,30","985,30","971,26","","-4,61%"
"01.09.2016","1.023,74","1.047,50","1.043,75","1.023,38","","-2,31%"
"01.08.2016","1.048,00","1.140,50","1.066,50","1.045,90","","-8,31%"
"01.07.2016","1.143,00","1.017,50","1.160,35","1.125,35","","12,06%"
"01.06.2016","1.020,00","974,50","1.030,90","996,12","","4,36%"
"01.05.2016","977,43","1.076,50","985,15","966,63","","-9,03%"
"01.04.2016","1.074,50","974,61","1.082,78","1.048,55","","10,49%"
"01.03.2016","972,50","932,85","985,52","960,09","","4,57%"
"01.02.2016","929,99","867,50","938,76","909,49","","6,85%"
"01.01.2016","870,40","891,00","877,96","857,75","","-2,27%"
