"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","25.2487","22.8365","25.3695","21.8825","","10.26%"
"10/01/2023","22.9000","22.1827","23.7100","20.6802","","3.34%"
"09/01/2023","22.1600","24.4023","24.8302","22.1058","","-9.31%"
"08/01/2023","24.4350","24.7480","25.0243","22.2157","","-1.35%"
"07/01/2023","24.7700","22.7785","25.2871","22.5220","","8.87%"
"06/01/2023","22.7521","23.5455","24.5374","22.0993","","-3.09%"
"05/01/2023","23.4775","25.1623","26.1458","22.6722","","-6.23%"
"04/01/2023","25.0363","24.1300","26.1072","23.5631","","4.00%"
"03/01/2023","24.0730","20.9146","24.1750","19.8923","","15.11%"
"02/01/2023","20.9124","23.7250","24.6472","20.4142","","-11.76%"
"01/01/2023","23.6994","23.9700","24.5750","22.7500","","-1.11%"
"12/01/2022","23.9652","22.1982","24.3350","22.0146","","7.98%"
"11/01/2022","22.1948","19.1655","22.2850","18.8200","","15.96%"
"10/01/2022","19.1404","19.0200","21.2550","18.0800","","0.74%"
"09/01/2022","19.0000","17.9750","20.0271","17.5548","","5.73%"
"08/01/2022","17.9700","20.3230","20.8950","17.9200","","-11.56%"
"07/01/2022","20.3200","20.2724","20.3750","18.1315","","0.36%"
"06/01/2022","20.2465","21.5635","22.5350","20.2000","","-5.98%"
"05/01/2022","21.5350","22.7700","23.2950","20.4597","","-5.30%"
"04/01/2022","22.7400","24.8050","26.2350","22.6800","","-8.20%"
"03/01/2022","24.7721","24.4600","26.9600","23.9744","","1.44%"
"02/01/2022","24.4202","22.4589","25.6350","21.9950","","8.85%"
"01/01/2022","22.4337","23.3250","24.7550","21.9495","","-3.59%"
"12/01/2021","23.2679","22.8200","23.4650","21.4300","","2.06%"
"11/01/2021","22.7984","23.9150","25.4250","22.6900","","-4.41%"
"10/01/2021","23.8500","22.1665","24.8550","21.9800","","7.43%"
"09/01/2021","22.2000","23.9055","24.9250","21.4112","","-7.05%"
"08/01/2021","23.8850","25.5400","26.0350","22.5250","","-6.19%"
"07/01/2021","25.4600","26.1230","26.7800","24.4850","","-2.47%"
"06/01/2021","26.1044","28.0615","28.5600","25.5300","","-6.94%"
"05/01/2021","28.0513","25.9250","28.7650","25.8000","","8.31%"
"04/01/2021","25.9000","24.4345","26.6950","24.2400","","6.19%"
"03/01/2021","24.3900","26.6500","27.1050","23.7799","","-8.38%"
"02/01/2021","26.6200","28.2950","30.0750","25.8950","","-1.41%"
"01/01/2021","27.0015","26.4000","27.9300","24.1999","","2.44%"
